,Name Of Area,Pincode
0,9 DRD B.O,411014
1,AFMC S.O,411040
2,Airport S.O (Pune),411032
3,Akurdi S.O,411035
4,Ammunition Factory Khadki S.O,411003
5,Bhosari I.E. S.O,411026
6,Bhosarigoan S.O,411039
7,Bibvewadi S.O,411037
8,C D A (O) S.O,411001
9,C M E S.O,411031
10,Chinchwad East S.O,411019
11,Chinchwadgaon S.O,411033
12,Dapodi Bazar S.O,411012
13,Dapodi S.O,411012
14,Dhanori B.O,411015
15,Dighi Camp S.O,411015
16,Dr.B.A. Chowk S.O,411001
17,Dukirkline S.O,411014
18,East Khadki S.O,411003
19,Ghorpuri Bazar S.O,411001
20,H.E. Factory S.O,411003
21,Hadapsar S.O,411028
22,Hadpsar I.E. S.O,411013
23,Iaf Station S.O,411032
24,Indrayaninagar S.O,411026
25,Kalewadi B.O,411017
26,Kasarwadi S.O,411034
27,Khadki Bazar S.O,411003
28,Khadki S.O,411003
29,Khondhwa KH B.O,411048
30,Kondhwa BK B.O,411048
31,Kondhwa Lh B.O,411048
32,Lohogaon S.O,411047
33,M.Phulenagar S.O,411019
34,Market Yard S.O (Pune),411037
35,Masulkar Colony S.O,411018
36,Mohamadwadi S.O,411060
37,Mundhva AV S.O,411036
38,Mundhva B.O,411036
39,N I B M S.O,411048
40,N.W. College S.O,411001
41,Nehrunagar S.O (Pune),411018
42,P.C.N.T. S.O,411044
43,Pimpri Colony S.O,411017
44,Pimpri P F S.O,411018
45,Pimpri Waghire S.O,411017
46,Punawale B.O,411033
47,Pune Cantt East S.O,411001
48,Pune H.O,411001
49,Pune New Bazar S.O,411001
50,Rupeenagar S.O,412114
51,Sachapir Street S.O,411001
52,Salisbury Park S.O,411037
53,Sangavi S.O,411027
54,Sasanenagar S.O,411028
55,Srpf S.O,411022
56,T.V. Nagar S.O,411037
57,Talwade B.O,412114
58,Thathawade B.O,411033
59,Thergaon B.O,411033
60,Vadgaon Sheri S.O,411014
61,Vidyanagar S.O (Pune),411032
62,Vishrantwadi S.O,411015
63,Wakad B.O,411057
64,Wanowarie S.O,411040
65,Yamunanagar S.O,411044
66,Yerwada S.O,411006
67,Yerwada T.S. S.O,411006
68,A.R. Shala S.O,411004
69,Anandnagar S.O (Pune),411051
70,Armament S.O,411021
71,Aundh T.S. S.O,411007
72,Bajirao Road S.O,411002
73,Baner Road S.O,411007
74,Bhavani Peth S.O,411042
75,Bhusari Colony S.O,411038
76,Botanical Garden S.O (Pune),411003
77,Congress House Road S.O,411005
78,Deccan Gymkhana S.O,411004
79,Dhankawadi S.O,411043
80,Ex. Serviceman Colony S.O,411038
81,Film Institute S.O,411004
82,Ganeshkhind S.O,411007
83,Ghorpade Peth S.O,411042
84,Govt. Polytechnic S.O,411016
85,Guruwar Peth S.O,411042
86,Kapad Ganj S.O,411002
87,Karvenagar S.O,411052
88,Kasba Peth S.O,411011
89,Katraj S.O,411046
90,Khadakwasla R.S. S.O,411024
91,Kothrud S.O,411038
92,Lokmanyanagar S.O,411030
93,Mangalwar Peth S.O (Pune),411011
94,Model Colony S.O,411016
95,N.C.L. Pune S.O,411008
96,N.D.A. Khadakwasla S.O,411023
97,N.I.A. S.O,411045
98,Nana Peth S.O,411002
99,Narayan Peth S.O,411030
100,Navsahyadri S.O,411052
101,Parvati Gaon S.O,411009
102,Parvati S.O,411009
103,Pune City H.O,411002
104,Range Hills S.O,411020
105,Rashtra Bhasha Bhavan S.O,411030
106,Rasta Peth S.O,411011
107,Raviwar Peth S.O,411002
108,S.P. College S.O,411030
109,S.S.C.Exam Board S.O,411005
110,Sadashiv Peth S.O,411030
111,Shaniwar Peth S.O (Pune),411030
112,Shivaji Housing Society S.O,411016
113,Shivajinagar S.O (Pune),411005
114,Shukrawar Peth S.O (Pune),411002
115,Swargate Chowk S.O,411042
116,Swargate S.O,411042
117,Vadgaon Budruk S.O,411041
118,Warje S.O,411058
119,Sub Office Indrayaninagar B.O,411032
120,Pune Weather S.O,411005
121,Pune R.S. S.O,411001
122,Khadki Arsenel S.O,411003
123,L.K. Path S.O,411003
124,Chinchwadga0n S.O,411033
